pair_id	chain_ptm_a	chain_ptm_b	min_pae_ab	ptm	iptm
pos_p35343_p11032	0.7	0.79	4.37	0.66	0.54
pos_o08530_q8ci15	0.69	0.81	6.04	0.64	0.54
pos_p49722_p28076	0.9	0.86	9.71	0.71	0.54
pos_o35622_o35082	0.5	0.82	4.91	0.74	0.54
pos_p05532_p20826	0.42	0.48	1.52	0.47	0.54
pos_q61081_p07901	0.48	0.6	2.16	0.58	0.54
pos_q9r1e0_q9z0z3	0.21	0.72	4.83	0.4	0.54
pos_e9q7x6_q6s5j6	0.26	0.57	2.56	0.35	0.54
pos_p19221_o08675	0.67	0.67	2.8	0.54	0.54
pos_p22272_q00560	0.55	0.55	2.72	0.56	0.54
pos_p30993_p30993	0.69	0.69	5.13	0.6	0.54
pos_p48036_p14824	0.88	0.85	9.83	0.73	0.54
pos_p48787_p50752	0.46	0.32	0.85	0.43	0.54
pos_p63073_d3z4i3	0.78	0.39	3.41	0.5	0.54
pos_q8bwj4_q62432	0.17	0.57	1.83	0.44	0.54
pos_q8k296_q91xs1	0.52	0.52	1.49	0.55	0.54
pos_q9z0h7_q2tba3	0.46	0.47	1.69	0.41	0.54
pos_q60805_q08761	0.35	0.59	2.12	0.47	0.54
pos_q9qyy0_p35235	0.26	0.7	2.57	0.45	0.54
pos_q9z1w9_p83741	0.54	0.32	1.49	0.36	0.54
pos_p01108_q8bfp9	0.23	0.78	6.29	0.5	0.54
pos_p06240_p16054	0.67	0.53	4.17	0.52	0.54
pos_q6wkz7_q8vdb2	0.48	0.81	5.43	0.51	0.54
pos_p35374_p0c605	0.74	0.72	5.73	0.66	0.54
pos_q64237_o55192	0.77	0.81	4.23	0.69	0.54
pos_q02248_o55111	0.63	0.35	5.76	0.41	0.54
pos_p97798_o09118	0.36	0.61	3.94	0.44	0.54
pos_q9est8_p42228	0.44	0.72	2.33	0.49	0.54
pos_p05480_q9eqh2	0.57	0.87	5.03	0.63	0.54
pos_f8wis9_q6qwf9	0.58	0.24	1.18	0.56	0.54
pos_q8c4u3_p22725	0.64	0.76	3.22	0.63	0.54
pos_a3kn90_a0a0a0mqj8	0.32	0.75	5.78	0.32	0.54
pos_e9q414_p55065	0.37	0.67	7.76	0.37	0.53
pos_o88704_q8c437	0.51	0.52	2.28	0.42	0.53
pos_p19785_p19785	0.5	0.5	0.85	0.54	0.53
pos_p23204_q99kr7	0.58	0.75	1.76	0.47	0.53
pos_p23242_q8bqu6	0.54	0.49	2.2	0.54	0.53
pos_q9jhh6_o88508	0.86	0.41	10.24	0.49	0.53
pos_q9z0z7_p37238	0.19	0.55	2.45	0.41	0.53
pos_q6p8g8_p70302	0.56	0.27	3.72	0.35	0.53
pos_p35918_q8k394	0.37	0.75	5.56	0.58	0.53
pos_p35918_q9ji83	0.32	0.51	5.68	0.35	0.53
pos_p70288_q60929	0.74	0.24	6.58	0.45	0.53
pos_p11276_p11688	0.28	0.58	2.76	0.41	0.53
pos_q3tbt3_q4jk59	0.69	0.34	9.19	0.34	0.53
pos_q60929_p23204	0.24	0.58	2.59	0.37	0.53
pos_q9wvh4_q9wvc6	0.21	0.68	4.04	0.38	0.53
pos_o88874_q14ax6	0.47	0.34	1.13	0.41	0.53
pos_p35569_q8bsk8	0.28	0.59	3.15	0.33	0.53
pos_p35969_p49764	0.37	0.5	5.89	0.39	0.53
pos_p56485_q9jhh5	0.76	0.53	3.01	0.71	0.53
pos_q61727_p42227	0.39	0.7	2.09	0.49	0.53
pos_q8ciz9_p63001	0.63	0.79	7.88	0.58	0.53
pos_o55222_q8vi36	0.62	0.22	3.43	0.38	0.53
pos_p01101_p42227	0.22	0.7	2.04	0.57	0.53
pos_p98086_p29533	0.54	0.41	3.05	0.45	0.53
pos_q8vcx5_q8cd10	0.6	0.65	4.47	0.58	0.53
pos_q9z148_b0lae7	0.41	0.01	12.74	0.41	0.53
pos_p21275_p43021	0.51	0.53	1.21	0.46	0.53
pos_p41183_p48281	0.25	0.59	4.09	0.34	0.53
pos_p56818_p54763	0.73	0.39	5.47	0.49	0.53
pos_q60700_q9wud1	0.38	0.59	3.64	0.42	0.53
pos_q61179_p42227	0.43	0.7	1.79	0.62	0.53
pos_q9jlv1_q5ebg6	0.23	0.5	3.18	0.25	0.53
pos_q9jlv5_q9z2x8	0.67	0.66	3.36	0.59	0.53
pos_q9qzm4_p50592	0.32	0.54	1.72	0.44	0.53
pos_o35305_o35235	0.32	0.5	1.47	0.4	0.53
pos_o70145_p97369	0.4	0.52	1.73	0.37	0.53
pos_o88951_q8c6b2	0.48	0.6	3.41	0.51	0.53
pos_p07901_q9wud1	0.62	0.57	3.62	0.5	0.53
pos_p21237_p15209	0.48	0.41	2.99	0.44	0.53
pos_q60631_p98083	0.5	0.34	5.86	0.29	0.53
pos_q62073_q571k4	0.52	0.2	1.23	0.38	0.53
pos_q76ju9_q1wg82	0.79	0.27	4.15	0.52	0.53
pos_q9epc2_p23188	0.52	0.6	1.96	0.54	0.53
pos_q9wvs7_q9wvs8	0.62	0.48	2.06	0.52	0.53
pos_q9z239_p05132	0.31	0.9	3.96	0.78	0.53
pos_q9z2c9_p37238	0.75	0.51	5.27	0.53	0.53
pos_p58252_o08796	0.65	0.58	4.03	0.55	0.53
pos_q00560_p52332	0.47	0.73	2.89	0.53	0.53
pos_o08529_q91y86	0.85	0.77	5.61	0.74	0.53
pos_p0c605_q60664	0.6	0.27	4.81	0.44	0.53
pos_p26450_p97428	0.32	0.63	7.27	0.36	0.53
pos_p26450_p97428	0.32	0.63	7.28	0.36	0.53
pos_p33434_q5suv5	0.77	0.69	9.56	0.67	0.53
pos_q8blr9_q923e4	0.86	0.46	6.35	0.43	0.53
pos_q91y47_e9pvx6	0.79	0.25	8.31	0.37	0.53
pos_p01901_q9jma4	0.64	0.5	3.34	0.59	0.53
pos_a0a0a0mqa2_o08911	0.52	0.78	8.39	0.48	0.53
pos_q9eps2_o70342	0.33	0.63	2.82	0.61	0.53
pos_q00651_a2ava0	0.57	0.34	5.88	0.41	0.53
pos_q6ns57_p11416	0.54	0.59	5.55	0.48	0.53
pos_p35991_q9quk6	0.52	0.68	3.61	0.59	0.53
pos_q61539_q8vhj7	0.53	0.19	3.71	0.3	0.53
pos_q5eg47_b1axh1	0.63	0.17	7.52	0.37	0.53
pos_f8wis9_f8vpr5	0.59	0.42	6.15	0.43	0.53
pos_p28843_a0a1w2p736	0.91	0.45	4.16	0.6	0.53
pos_o35344_e9q1u2	0.74	0.18	6.8	0.37	0.53
pos_p20334_p41274	0.43	0.52	1.05	0.52	0.52
pos_p51683_p10889	0.75	0.49	3.34	0.71	0.52
pos_p52800_q8cbf3	0.44	0.44	1.32	0.48	0.52
pos_p70207_q62217	0.45	0.49	2.13	0.49	0.52
pos_q01815_q8cc27	0.63	0.44	1.94	0.59	0.52
pos_q03366_p51682	0.5	0.77	2.75	0.71	0.52
pos_q8bgm7_p68254	0.59	0.84	6.45	0.45	0.52
pos_q9cxc9_q9qui0	0.24	0.83	8.86	0.38	0.52
pos_q9wv60_q9ere3	0.8	0.6	3.26	0.45	0.52
pos_q9z248_q80u70	0.26	0.48	1.4	0.44	0.52
pos_q8cdc0_q8bg99	0.82	0.28	9.1	0.5	0.52
pos_p60954_q99p51	0.34	0.53	2.22	0.28	0.52
pos_q63953_p43432	0.55	0.79	5.58	0.62	0.52
pos_q8k4z2_p04202	0.4	0.64	3.21	0.53	0.52
pos_q9qz73_p29595	0.72	0.77	9.61	0.58	0.52
pos_q61324_q64429	0.3	0.82	7.03	0.46	0.52
pos_q8c4u3_p22725	0.63	0.77	3.03	0.65	0.52
pos_q9est8_o88643	0.46	0.58	5.14	0.49	0.52
pos_p10417_p10085	0.64	0.27	2.78	0.37	0.52
pos_p11032_q9wtj9	0.83	0.48	4.73	0.59	0.52
pos_p23242_p04426	0.54	0.74	4.21	0.5	0.52
pos_p23242_p28229	0.54	0.52	2.33	0.55	0.52
pos_p23708_p63139	0.18	0.47	1.08	0.33	0.52
pos_p41183_p35396	0.25	0.6	4.69	0.34	0.52
pos_p52800_p54754	0.44	0.41	1.28	0.45	0.52
pos_q9z2x8_q8bx10	0.67	0.7	3.38	0.54	0.52
pos_p05132_q62351	0.83	0.79	6.38	0.71	0.52
pos_p11416_o89090	0.65	0.18	2.45	0.36	0.52
pos_q62432_q9d8u9	0.46	0.27	4.46	0.48	0.52
pos_q9qyc0_p15539	0.41	0.78	5.7	0.44	0.52
pos_p31750_q9d1f4	0.78	0.27	3.13	0.58	0.52
pos_p98086_p14106	0.55	0.54	1.96	0.54	0.52
pos_q9wv60_q8vdu5	0.8	0.44	6.34	0.51	0.52
pos_q9z0j4_p29477	0.54	0.47	2.19	0.52	0.52
pos_p33896_q9r117	0.49	0.72	3.02	0.58	0.52
pos_p70371_q9qxg9	0.51	0.52	1.5	0.38	0.52
pos_q3lac4_o08586	0.65	0.73	2.58	0.58	0.52
pos_q8vcx5_q9cty5	0.59	0.58	2.29	0.58	0.52
pos_q99mu3_q91zs8	0.42	0.58	3.42	0.48	0.52
pos_o08808_p15409	0.44	0.81	6.93	0.4	0.52
pos_o54918_p47811	0.17	0.88	5.75	0.64	0.52
pos_o55111_q9cq73	0.33	0.56	3.5	0.38	0.52
pos_p23204_q38hm4	0.59	0.4	2.32	0.5	0.52
pos_q6paj1_p48025	0.38	0.63	3.29	0.35	0.52
pos_q80wm9_q9qyh9	0.47	0.57	2.46	0.52	0.52
pos_o35253_q64729	0.6	0.64	3.71	0.58	0.52
pos_p01139_q9z0w1	0.52	0.37	2.28	0.45	0.52
pos_p31750_q9wv60	0.65	0.8	4.98	0.46	0.52
pos_p51437_q9es83	0.56	0.49	4.15	0.51	0.52
pos_p51437_q9es83	0.56	0.49	4.18	0.51	0.52
pos_p70268_q9qui0	0.52	0.78	9.74	0.47	0.52
pos_p79621_q8k3z0	0.53	0.7	7.16	0.47	0.52
pos_q3b7z2_q9wv55	0.52	0.48	1.79	0.45	0.52
pos_q60698_q8bun5	0.35	0.48	1.42	0.41	0.52
pos_q62073_q99k90	0.53	0.19	1.05	0.38	0.52
pos_q8bwg9_p70302	0.55	0.27	4.55	0.35	0.52
pos_q8bwg9_p83093	0.55	0.26	4.51	0.34	0.52
pos_o88874_q69za1	0.46	0.35	1.14	0.41	0.52
pos_p25799_q04207	0.53	0.38	1.63	0.51	0.52
pos_p54763_q8ve43	0.45	0.59	5	0.49	0.52
pos_p70211_q91y86	0.39	0.76	6.74	0.36	0.52
pos_q62009_p23204	0.64	0.57	3.76	0.49	0.52
pos_o08537_p23204	0.48	0.58	1.78	0.53	0.52
pos_o54910_p42225	0.61	0.7	5.15	0.53	0.52
pos_p47811_q7ts72	0.86	0.45	9.49	0.52	0.52
pos_q14ba6_q08775	0.66	0.27	8.11	0.35	0.52
pos_q9wv60_p31750	0.79	0.65	4.13	0.45	0.52
pos_p86792_p47774	0.45	0.72	1.69	0.67	0.52
pos_q8vcm7_q9eqi5	0.58	0.52	2.99	0.57	0.52
pos_o35182_q64729	0.59	0.65	3.42	0.57	0.52
pos_q9ji91_q91ye8	0.51	0.18	6.36	0.38	0.52
pos_p29754_q6ns57	0.7	0.53	8.04	0.47	0.52
pos_p29754_q8k394	0.72	0.76	7.64	0.72	0.52
pos_q64430_p47811	0.44	0.78	5.55	0.41	0.52
pos_q64430_o08859	0.47	0.46	3.75	0.45	0.52
pos_q02248_p51141	0.66	0.22	5.48	0.45	0.52
pos_q02248_q9qzs3	0.65	0.29	4.82	0.46	0.52
pos_p97305_q8c9v1	0.29	0.75	6.37	0.39	0.52
pos_q9jhg7_q8r071	0.89	0.56	7.56	0.69	0.52
pos_q8vhj7_p23204	0.19	0.58	4.6	0.34	0.52
pos_p51437_q9es83	0.56	0.5	4.08	0.51	0.52
pos_q8bh93_q9wvs4	0.1	0.7	4.05	0.52	0.52
pos_b0lae7_o70551	0.01	0.68	8.86	0.68	0.51
pos_p34152_p04202	0.52	0.65	7.56	0.49	0.51
pos_p35991_b2rws6	0.6	0.41	10.4	0.39	0.51
pos_p41136_p15806	0.4	0.24	0.9	0.29	0.51
pos_q60680_q60778	0.71	0.59	5.03	0.63	0.51
pos_q8vhh8_p42227	0.56	0.69	6.06	0.66	0.51
pos_q9epw2_p37238	0.2	0.54	2.55	0.39	0.51
pos_p30728_q61011	0.57	0.8	7.88	0.59	0.51
pos_p70312_o08859	0.84	0.49	6.58	0.71	0.51
pos_q3tn22_q9est8	0.62	0.45	7.17	0.42	0.51
pos_q64373_q9est8	0.64	0.44	4.08	0.4	0.51
pos_q91y86_p27577	0.79	0.31	9.12	0.46	0.51
pos_o70343_q9cr35	0.23	0.86	7.52	0.32	0.51
pos_p25799_q04863	0.52	0.43	1.6	0.52	0.51
pos_p35918_p49764	0.42	0.5	6.15	0.41	0.51
pos_p97864_q8bh93	0.74	0.1	5.43	0.48	0.51
pos_q3udn3_q99kr7	0.32	0.76	4.41	0.43	0.51
pos_q8vhx6_p35385	0.31	0.4	6.31	0.31	0.51
pos_q91y86_p63085	0.79	0.85	9.49	0.63	0.51
pos_q9cpx6_q9cqv6	0.63	0.78	5.16	0.5	0.51
pos_o88472_q9wu72	0.27	0.5	1.13	0.45	0.51
pos_p12850_o88508	0.53	0.44	6.26	0.41	0.51
pos_p32443_q60756	0.25	0.48	2.14	0.37	0.51
pos_q6ygz1_p70227	0.85	0.68	12.74	0.66	0.51
pos_q91x78_q8bfz9	0.5	0.5	2.62	0.54	0.51
pos_q9quj7_p42227	0.84	0.68	8.94	0.64	0.51
pos_p11859_p10923	0.87	0.08	4.24	0.6	0.51
pos_p35582_q62226	0.27	0.47	1.24	0.4	0.51
pos_q01231_q01231	0.56	0.56	3.28	0.55	0.51
pos_q8r104_p02340	0.77	0.53	4.6	0.49	0.51
pos_o35718_p06804	0.64	0.59	4.57	0.42	0.51
pos_p21274_p36895	0.64	0.6	1.66	0.55	0.51
pos_q9jlv1_q9jk92	0.33	0.43	0.97	0.39	0.51
pos_o35082_q61143	0.81	0.71	6.09	0.53	0.51
pos_o35393_o08644	0.44	0.43	1.39	0.46	0.51
pos_p28293_q9d8t2	0.78	0.71	11.76	0.64	0.51
pos_p55292_q9cq73	0.35	0.56	3.14	0.39	0.51
pos_q99mk8_p46938	0.83	0.15	8.56	0.59	0.51
pos_q9wv60_p60324	0.82	0.33	5.8	0.67	0.51
pos_a2ah22_q91vr7	0.37	0.78	12.02	0.36	0.51
pos_p19221_p30558	0.67	0.62	4.24	0.5	0.51
pos_p51437_q9es83	0.56	0.49	4.29	0.51	0.51
pos_p51437_q9es83	0.56	0.49	4.31	0.51	0.51
pos_q08481_q08481	0.45	0.46	2.12	0.5	0.51
pos_q62406_q8r4k2	0.45	0.59	4.3	0.49	0.51
pos_q8bun5_q9wud1	0.6	0.57	3.71	0.43	0.51
pos_q9r1a8_q8k4k4	0.57	0.62	3.16	0.46	0.51
pos_p51437_q9es83	0.56	0.49	4.32	0.51	0.51
pos_q921j2_q61037	0.74	0.54	11.34	0.54	0.51
pos_p37172_o35253	0.6	0.6	4.11	0.53	0.51
pos_q9eq14_p42227	0.68	0.71	7.22	0.67	0.51
pos_q9wv60_o70343	0.8	0.22	7.72	0.4	0.51
pos_q769j6_p11798	0.38	0.55	4.49	0.36	0.51
pos_o35607_p05480	0.37	0.62	3.83	0.37	0.51
pos_p19785_o08537	0.49	0.47	0.97	0.51	0.51
pos_q3ujf0_q69z38	0.75	0.36	7.35	0.38	0.51
pos_q8blr9_q80wy3	0.89	0.25	6.73	0.59	0.51
pos_p70340_p97469	0.56	0.26	2.97	0.45	0.51
pos_p06804_p50284	0.59	0.35	4.18	0.43	0.51
pos_e9pwh2_p06240	0.37	0.69	4.79	0.35	0.51
pos_p54754_p52800	0.43	0.44	1.35	0.47	0.51
pos_q8vii8_p47811	0.33	0.86	7.51	0.37	0.51
pos_q8vck6_q9wvl0	0.74	0.88	9.39	0.65	0.51
pos_p16054_p05480	0.54	0.58	3.11	0.49	0.51
pos_q8vi38_q8bti9	0.77	0.85	9.72	0.77	0.51
pos_q5d0e0_p56477	0.73	0.43	6.36	0.56	0.51
pos_o88703_q8c437	0.49	0.53	2.81	0.4	0.5
pos_p15806_p26687	0.21	0.41	0.93	0.29	0.5
pos_p52800_q03137	0.43	0.45	1.35	0.48	0.5
pos_q7tmb8_p55144	0.81	0.37	6.6	0.59	0.5
pos_q9r001_p70312	0.58	0.81	9.42	0.51	0.5
pos_o89110_o35732	0.49	0.46	1.71	0.5	0.5
pos_p29754_q8bg99	0.76	0.27	6.71	0.45	0.5
pos_p63094_p34968	0.58	0.62	4.6	0.58	0.5
pos_q9d5h4_q5u4h9	0.68	0.26	10.55	0.31	0.5
pos_q9wua6_p30557	0.71	0.74	6.86	0.64	0.5
pos_o08734_p70444	0.64	0.21	6.9	0.45	0.5
pos_p26361_p22777	0.69	0.76	10.15	0.65	0.5
pos_p62509_o70343	0.52	0.24	4.22	0.35	0.5
pos_q3uu96_q9cqy5	0.5	0.51	4.19	0.49	0.5
pos_q8bh93_q9wvs4	0.12	0.7	4.01	0.53	0.5
pos_q91yi4_q9est8	0.7	0.46	6.8	0.48	0.5
pos_p31750_p46938	0.74	0.16	4.34	0.47	0.5
pos_p33587_p15306	0.69	0.42	7.46	0.45	0.5
pos_p61014_p70302	0.4	0.4	6.13	0.4	0.5
pos_p37238_p52633	0.52	0.7	4.14	0.51	0.5
pos_p54071_q8k2c6	0.78	0.8	7.94	0.55	0.5
pos_q80wg5_q80wg5	0.59	0.6	3.23	0.57	0.5
pos_p57774_o70342	0.35	0.62	2.84	0.61	0.5
pos_p62962_p02340	0.9	0.53	12.19	0.42	0.5
pos_q8vim5_o35437	0.18	0.37	1.59	0.24	0.5
pos_o35082_b0lae7	0.85	0.01	11.06	0.85	0.5
pos_p19123_p50752	0.49	0.24	3.29	0.34	0.5
pos_p97367_p41778	0.32	0.44	1.12	0.43	0.5
pos_q64378_p07901	0.66	0.61	4.17	0.56	0.5
pos_q6zq88_q9z280	0.73	0.78	7.53	0.66	0.5
pos_q8cjg0_o35261	0.83	0.25	6.23	0.62	0.5
pos_q9jjn1_p37242	0.54	0.53	3.95	0.41	0.5
pos_p05017_q60751	0.34	0.38	1.96	0.4	0.5
pos_p15314_q64287	0.37	0.49	1.38	0.37	0.5
pos_p23204_q9wtn3	0.56	0.5	6.03	0.42	0.5
pos_p28654_q8bhk6	0.8	0.5	3.17	0.54	0.5
pos_p31750_p70284	0.73	0.29	7.18	0.56	0.5
pos_p42225_q9jkd8	0.71	0.4	4.03	0.51	0.5
pos_p52800_p54761	0.44	0.43	1.32	0.47	0.5
pos_p53762_p97481	0.43	0.43	1.25	0.49	0.5
pos_o08530_p52592	0.68	0.71	7.52	0.62	0.5
pos_p17879_q4jk59	0.74	0.34	9.53	0.36	0.5
pos_p35951_q8c142	0.48	0.47	2.38	0.41	0.5
pos_p52800_o08644	0.44	0.43	1.48	0.45	0.5
pos_o55222_q91v27	0.66	0.24	7.25	0.41	0.5
pos_o88351_q91vl8	0.72	0.28	7.4	0.58	0.5
pos_p29351_p97797	0.8	0.51	7.46	0.59	0.5
pos_q7ts72_p11416	0.43	0.63	4.81	0.38	0.5
pos_q91yi4_q9jjy3	0.63	0.66	5.78	0.54	0.5
pos_q9est8_p23204	0.46	0.55	4.83	0.4	0.5
pos_q9est8_p37238	0.45	0.54	4.82	0.42	0.5
pos_q9qz82_q64505	0.8	0.83	9.25	0.66	0.5
pos_q9eps3_q3uhn9	0.78	0.79	8.47	0.65	0.5
pos_p97295_q149w4	0.7	0.74	4.31	0.58	0.5
pos_p11276_q9qun7	0.3	0.63	10.46	0.39	0.5
pos_q7tsh6_q00560	0.24	0.55	4.79	0.4	0.5
pos_q6rhr9_a9z055	0.26	0.56	7.64	0.26	0.5
pos_q9d832_p97305	0.51	0.29	3.07	0.27	0.5
pos_p54761_p52800	0.42	0.44	1.4	0.46	0.5
pos_q61190_p52332	0.47	0.73	2.91	0.64	0.5
pos_q62120_q61083	0.67	0.42	4.08	0.52	0.5
pos_q61164_p28660	0.21	0.89	3.62	0.64	0.5
pos_q921j2_q8bxk4	0.76	0.64	10.25	0.61	0.5
pos_q8vhx6_p35385	0.35	0.39	6.72	0.36	0.5
pos_o08584_p04202	0.22	0.69	5.81	0.51	0.49
pos_o88572_p63085	0.57	0.85	9.98	0.53	0.49
pos_p20181_q6vns1	0.48	0.43	3.76	0.43	0.49
pos_p27548_p06804	0.51	0.59	2.73	0.51	0.49
pos_p47879_q8r4k8	0.31	0.71	6.51	0.67	0.49
pos_p52019_q3u1n2	0.74	0.5	6.1	0.48	0.49
pos_q9cpx6_q91vr7	0.62	0.8	9.94	0.5	0.49
pos_q9wtl8_p23204	0.31	0.59	4.02	0.45	0.49
pos_p06332_q9cyn9	0.53	0.65	4.05	0.56	0.49
pos_q61618_p01108	0.77	0.23	5.36	0.47	0.49
pos_q61618_p70288	0.78	0.74	6.59	0.65	0.49
pos_q8bgw4_q80ss6	0.68	0.72	5.11	0.63	0.49
pos_q9z0l4_p04202	0.59	0.45	2.12	0.48	0.49
pos_p61161_q91yd9	0.82	0.32	10.95	0.49	0.49
pos_q68ef6_o08530	0.21	0.69	4.98	0.39	0.49
pos_p39688_p35918	0.67	0.33	4.64	0.4	0.49
pos_q8vi38_q8bti9	0.76	0.85	10.25	0.76	0.49
pos_q9jjl9_q03141	0.73	0.45	7.57	0.46	0.49
pos_p06684_p06684	0.65	0.65	3.82	0.56	0.49
pos_p21274_p36898	0.63	0.63	2.7	0.53	0.49
pos_p41155_p50284	0.48	0.34	1.35	0.44	0.49
pos_o09106_p60324	0.75	0.36	6.87	0.6	0.49
pos_q9z0z7_b0lae7	0.27	0.01	8.3	0.27	0.49
pos_p60710_p57780	0.82	0.48	9.09	0.44	0.49
pos_q61214_p97305	0.5	0.28	4.24	0.34	0.49
pos_q62120_p48356	0.68	0.4	2.93	0.5	0.49
pos_q63943_p30051	0.23	0.56	2.83	0.35	0.49
pos_q9r1e0_q9wvc6	0.21	0.69	4.7	0.38	0.49
pos_o55143_q62407	0.7	0.29	7.34	0.42	0.49
pos_p27040_o08689	0.56	0.41	1.65	0.42	0.49
pos_q00560_q62120	0.42	0.69	2.79	0.5	0.49
pos_q61026_p05017	0.24	0.36	3.15	0.25	0.49
pos_p47811_p47713	0.83	0.82	7.72	0.69	0.49
pos_p50538_p01108	0.39	0.25	1.1	0.35	0.49
pos_q02248_p46938	0.66	0.16	7.69	0.5	0.49
pos_q60765_p05627	0.39	0.24	1.01	0.35	0.49
pos_q60954_p41778	0.35	0.44	1.14	0.45	0.49
pos_o35716_p42227	0.66	0.71	7.6	0.64	0.49
pos_p01108_p42227	0.25	0.7	2.83	0.56	0.49
pos_p28843_p06804	0.92	0.58	2.6	0.74	0.49
pos_q61084_q922b6	0.51	0.48	2.09	0.42	0.49
pos_q62073_q8cf89	0.48	0.67	2	0.4	0.49
pos_q62172_q80x56	0.42	0.58	2.27	0.36	0.49
pos_o88597_q80u62	0.45	0.39	2.12	0.42	0.49
pos_p31750_p18293	0.63	0.46	9.85	0.48	0.49
pos_p35436_q91yd4	0.47	0.75	8.98	0.59	0.49
pos_p35951_q8bm54	0.46	0.67	5.12	0.39	0.49
pos_p52795_o08644	0.43	0.45	1.47	0.47	0.49
pos_p53762_q61221	0.43	0.44	1.17	0.49	0.49
pos_q8vi36_q64727	0.22	0.84	8.09	0.65	0.49
pos_q9jln9_q01705	0.61	0.28	10.39	0.5	0.49
pos_q9qxx0_q61982	0.44	0.27	2.53	0.38	0.49
pos_p08101_p48025	0.5	0.69	3.35	0.52	0.49
pos_q3uv55_p51448	0.39	0.51	2.55	0.46	0.49
pos_q9ji91_q9jks4	0.56	0.22	4.25	0.45	0.49
pos_q8r189_q9z1t2	0.73	0.53	8.87	0.47	0.49
pos_q01279_q8cih5	0.35	0.75	6.8	0.54	0.49
pos_b2rws6_o08537	0.42	0.47	4.58	0.41	0.49
pos_q9wv60_q61315	0.8	0.34	8.16	0.34	0.49
pos_o35516_p62080	0.29	0.64	11.28	0.29	0.49
pos_a0a286ycx6_q6ns57	0.54	0.51	4.69	0.43	0.49
pos_p18762_q8c6m1	0.62	0.53	5.48	0.54	0.49
pos_p09055_q8cib5	0.51	0.7	5.59	0.43	0.49
pos_p0c605_q8k394	0.72	0.75	8.28	0.6	0.49
pos_q3u5d9_o35437	0.36	0.37	1.65	0.39	0.49
pos_q9jhb2_p82348	0.83	0.47	5.22	0.59	0.49
pos_p97718_q3uyh7	0.59	0.8	5.24	0.62	0.49
pos_q8k1m6_g3x9g4	0.56	0.45	7.55	0.51	0.49
pos_q9est8_q04863	0.5	0.43	1.59	0.48	0.49
pos_b2rws6_q62432	0.4	0.42	3.04	0.39	0.48
pos_p10148_p21956	0.42	0.55	2.51	0.52	0.48
pos_p17433_q9quk6	0.35	0.7	3.5	0.59	0.48
pos_p23242_p05132	0.54	0.82	7.35	0.59	0.48
pos_p52332_q62137	0.67	0.65	5.06	0.58	0.48
pos_p54869_p23204	0.82	0.57	3.58	0.51	0.48
pos_q3tsg4_q9wv60	0.56	0.81	5.55	0.5	0.48
pos_q61169_p63166	0.16	0.68	5.22	0.21	0.48
pos_q61411_q62432	0.74	0.58	9.69	0.57	0.48
pos_q6pcm1_b0lae7	0.57	0.01	11.98	0.57	0.48
pos_q9z0d9_p12850	0.73	0.53	4.33	0.68	0.48
pos_p08414_q9qyk9	0.55	0.7	6.54	0.55	0.48
pos_p18242_q9z0m5	0.81	0.85	7.97	0.65	0.48
pos_p30987_p36423	0.76	0.83	6.86	0.65	0.48
pos_q64261_p01108	0.79	0.23	5.52	0.45	0.48
pos_q9dcb8_q7ts72	0.61	0.44	6.71	0.39	0.48
pos_p29754_o70291	0.73	0.77	8.46	0.65	0.48
pos_e9q2e9_q91y86	0.09	0.82	5.49	0.62	0.48
pos_o70138_p06804	0.6	0.58	2.16	0.46	0.48
pos_q07813_q9d5h4	0.76	0.7	9.2	0.61	0.48
pos_q9es46_q99jw4	0.48	0.33	1.83	0.46	0.48
pos_q9r216_p27467	0.56	0.76	3.13	0.46	0.48
pos_o09044_p63024	0.47	0.43	5.6	0.5	0.48
pos_q8r4z4_q9z183	0.25	0.82	7.72	0.55	0.48
pos_q91uz4_q61532	0.83	0.48	9.29	0.42	0.48
pos_q99jx7_p84104	0.41	0.44	1.99	0.44	0.48
pos_p07901_q9cx34	0.63	0.38	4.22	0.56	0.48
pos_q61188_p42227	0.64	0.71	6.59	0.48	0.48
pos_q61221_q91y86	0.42	0.77	8.81	0.37	0.48
pos_p21279_q61143	0.61	0.72	7.99	0.64	0.48
pos_q60795_p23204	0.21	0.57	4.92	0.36	0.48
pos_q61140_p05480	0.29	0.51	3.43	0.34	0.48
pos_q61169_q62227	0.17	0.74	7.88	0.34	0.48
pos_p05132_o88667	0.84	0.5	10.25	0.53	0.48
pos_p07901_q8r5a0	0.58	0.84	5.1	0.45	0.48
pos_q6w5c0_p70658	0.47	0.75	4.05	0.69	0.48
pos_q9eqy0_p07901	0.43	0.61	7.42	0.48	0.48
pos_q9qvp9_p05480	0.39	0.51	4.21	0.41	0.48
pos_q9qz05_q9qz05	0.42	0.42	2.19	0.48	0.48
pos_p10148_p01587	0.44	0.7	5.32	0.5	0.48
pos_p20033_p26618	0.49	0.39	5.61	0.4	0.48
pos_p41778_o70477	0.44	0.4	1.23	0.48	0.48
pos_q3umr5_q9db10	0.46	0.41	2.49	0.47	0.48
pos_q7tn16_q62226	0.62	0.47	4.16	0.55	0.48
pos_p22387_p23188	0.2	0.62	3.91	0.55	0.48
pos_p60041_p30875	0.23	0.73	4.02	0.64	0.48
pos_p97401_p22725	0.42	0.74	2.76	0.56	0.48
